# Este archivo solo contiene ejemplos no todo el dataset completo por cuestiones de peso

filename,label,source_url,width,height,sha256
multimeter_00116.jpg,multimeter,https://th.bing.com/th/id/OIP.thA1kyFw8aKBMVx3-yAp3QHaHa?w=211&h=211&c=7&r=0&o=7&pid=1.7&rm=3,211,211,674fd360dbafe3a7dd32e844a81e54f7cd2fb58f821fda5a6dd332da5f90901b
multimeter_00117.jpg,multimeter,https://th.bing.com/th/id/OIP.Y5cJ26LcLticXjOoqx4XtgHaHa?w=211&h=211&c=7&r=0&o=7&pid=1.7&rm=3,211,211,2a017d09a2bfdef296f1d1cb973320dfa7881e249e39256b84bd2271e5bebf96
multimeter_00118.jpg,multimeter,https://th.bing.com/th/id/OIP.x2lU6Ib1YSiDdzvNDRO_MgHaHa?w=211&h=211&c=7&r=0&o=7&pid=1.7&rm=3,211,211,9559a7dbb10158ed13ff760bbe221e64eafc71e4574bf04aba320bdb0634319d
multimeter_00119.jpg,multimeter,https://th.bing.com/th/id/OIF.bMI6ayd20PlOYRjKcXGOag?w=202&h=202&c=7&r=0&o=7&pid=1.7&rm=3,202,202,3b246b2e873756005b8aef6167e20722c31ec9fb8c37ed213def2fbcf28e9aa9
multimeter_00120.jpg,multimeter,https://th.bing.com/th/id/OIP.gTnQ7O4_tdG97q7_Tr8sEgHaFj?w=278&h=208&c=7&r=0&o=7&pid=1.7&rm=3,278,208,f2cad2a415640ffa38f096d6788a471a742cee7419e0da3411b9c928af8430f9
multimeter_00121.jpg,multimeter,https://th.bing.com/th/id/OIP.CAUQ_FTWKhcRHLx9dTSclwHaHa?w=211&h=211&c=7&r=0&o=7&pid=1.7&rm=3,211,211,30cd9def3527600ae809c24eb40ab76de008335ab943f5435e3d6851fadabd30
multimeter_00122.jpg,multimeter,https://th.bing.com/th?id=OIF.%2b47IKwBo%2bWpRoABqxumzIA&w=293&h=202&c=7&r=0&o=7&pid=1.7&rm=3,293,202,8b6259a1e85ceb2fdf2459f8f71edf6c543492eeac875ad67f5b3e9417762ea9
multimeter_00123.jpg,multimeter,https://th.bing.com/th/id/OIP.BBs9VUhRvZAlGdOQU_KNhQHaHa?w=207&h=208&c=7&r=0&o=7&pid=1.7&rm=3,207,208,17adb0d7679f8e59a58b9b2fbffeee2c718bac6b8740b0b3ade000e344081a60
multimeter_00124.jpg,multimeter,https://th.bing.com/th?id=OIF.wa%2bQ1kc%2f0joD89qMavemCw&w=203&h=202&c=7&r=0&o=7&pid=1.7&rm=3,203,202,935480ff3d1e86c3a13ba689ec1a52a619a85684bb95a0bd7984585f95b0f7c6
multimeter_00125.jpg,multimeter,https://th.bing.com/th/id/OIP.__8gfwAW7xvBfGgoU4KcGwHaHa?w=211&h=211&c=7&r=0&o=7&pid=1.7&rm=3,211,211,7bbaacd769e5ff59b3c6934b1fbd6f1b95bf1ab55053c98e7664f9e51537b521
multimeter_00126.jpg,multimeter,https://th.bing.com/th/id/OIP.IgKYgd-jkkqjERKJy495FQHaHa?w=208&h=208&c=7&r=0&o=7&pid=1.7&rm=3,208,208,1548618fab828af35050b4c0e70f93857799be30e46c49f68051070c2aa29e4a
multimeter_00127.jpg,multimeter,https://th.bing.com/th/id/OIP.e8cytuTyH4ulrwYHRq_LxgHaHa?w=208&h=208&c=7&r=0&o=7&pid=1.7&rm=3,208,208,95ec971c1fc084ddc36d1173ae1cbd069d4a2f1327b4ef9c3ed75dd4c2e6c0cf
multimeter_00128.jpg,multimeter,https://th.bing.com/th/id/OIP.Ssws8nepQzXVsghXX0EvmgHaHa?w=204&h=204&c=7&r=0&o=7&pid=1.7&rm=3,204,204,21b534fbe5d7d40582a1b979459e122e78a6eaafadcbb382004f8dd3bb4fe72e
multimeter_00129.jpg,multimeter,https://th.bing.com/th/id/OIP.GNOhnTzZ-zOe61K-PYR4yAHaHB?w=219&h=208&c=7&r=0&o=7&pid=1.7&rm=3,219,208,fa8a937dc49a3620bc2628e3073d6d342f2f085c92d3252b05ffde585da742f6
multimeter_00130.jpg,multimeter,https://th.bing.com/th/id/OIP.udk1Wlvt2vU5toCZfBw5vwHaHa?w=211&h=211&c=7&r=0&o=7&pid=1.7&rm=3,211,211,656d3e8afd043534cb425f406c210015cc5f7380f29d991044a8af6afa40eed7
multimeter_00130.jpg,multimeter,https://th.bing.com/th/id/OIP.3PG3b3l4PqM2fBTDB5vEaAHaHB?w=218&h=208&c=7&r=0&o=7&pid=1.7&rm=3,218,208,1b40e1c6e46dce33a47f08126bb606cb5eabe70673aa182ec37743b40983b9ce
multimeter_00130.jpg,multimeter,https://th.bing.com/th/id/OIP.d88GareemCBf3OnQdAK7xwHaF7?w=264&h=211&c=7&r=0&o=7&pid=1.7&rm=3,264,211,54237ee9db58edc865e7bd4daaeccc55a6529bc4b534a802516544032a204f1b
multimeter_00130.jpg,multimeter,https://th.bing.com/th/id/OIP.fsU4F-C6YzND5KVSYBux5wHaHa?w=204&h=204&c=7&r=0&o=7&pid=1.7&rm=3,204,204,f8f0d68c1b21b51cce50ea011fafd248e71be4653cf14e7191d9f8ee977ee415
